TaxonName,Author,accepted_bin
Bursera instabilis,McVaugh & Rzed.,Bursera instabilis
Bursera inversa,Daly,Bursera inversa
Bursera isthmica,Rzed. & Calderón,Bursera isthmica
Bursera itzae,Lundell,Bursera itzae
Bursera karsteniana,Engl.,Bursera karsteniana
Bursera karwinskii,Engl.,Bursera karwinskii
Bursera kerberi,Engl.,Bursera kerberi
Bursera klugii,(J.Macbr.) J.F.Macbr.,Bursera klugii
Bursera krusei,Rzed.,Bursera krusei
Bursera lancifolia,(Schltdl.) Engl.,Bursera lancifolia
Bursera laurihuertae,Rzed. & Calderón,Bursera laurihuertae
Bursera laxiflora,S.Watson,Bursera laxiflora
Bursera linanoe,"(La Llave) Rzed., Calderón & Medina",Bursera linanoe
Bursera longipes,(Rose) Standl.,Bursera longipes
Bursera lunanii,(Spreng.) C.D.Adams & Dandy ex Proctor,Bursera lunanii
Bursera macvaughiana,Cuevas & Rzed.,Bursera macvaughiana
Bursera madrigalii,Rzed. & Calderón,Bursera madrigalii
Bursera martae,J.Jiménez Ram. & Cruz Durán,Bursera martae
Bursera medranoana,Rzed. & E.Ortíz,Bursera medranoana
Bursera microphylla,A.Gray,Bursera microphylla
Bursera mirandae,C.A.Toledo,Bursera mirandae
Bursera morelensis,Ramírez,Bursera morelensis
Bursera multifolia,(Rose) Engl.,Bursera multifolia
Bursera multijuga,Engl.,Bursera multijuga
Bursera occulta,McVaugh & Rzed.,Bursera occulta
Bursera odorata,(Kunth) Engl.,Bursera fagaroides
Bursera oerstedii,(Standl.) Standl.,Bursera oerstedii
Bursera ovalifolia,(Schltdl.) Engl.,Bursera ovalifolia
Bursera palaciosii,Rzed. & Calderón,Bursera palaciosii
Bursera palmeri,S.Watson,Bursera palmeri
Bursera paradoxa,Guevara & Rzed.,Bursera paradoxa
Bursera penicillata,(Sessé & Moc. ex DC.) Engl.,Bursera penicillata
Bursera pereirae,Daly,Bursera pereirae
Bursera permollis,Standl. & Steyerm.,Bursera permollis
Bursera roseana,"Rzed., Calderón & Medina",Bursera roseana
Bursera rzedowskii,C.A.Toledo,Bursera rzedowskii
Bursera sarcopoda,Paul G.Wilson,Bursera sarcopoda
Bursera sarukhanii,Guevara & Rzed.,Bursera sarukhanii
Bursera schlechtendalii,Engl.,Bursera schlechtendalii
Bursera sellowii,Turcz.,Bursera sellowii
Bursera shaferi,(Britton & P.Wilson) Urb.,Bursera shaferi
Bursera silviae,Rzed. & Calderón,Bursera silviae
Bursera simaruba,(L.) Sarg.,Bursera simaruba
Bursera simplex,Rzed. & Calderón,Bursera simplex
Bursera spinescens,Urb. & Ekman,Bursera spinescens
Bursera standleyana,L.O.Williams & Cuatrec.,Bursera standleyana
Bursera staphyleoides,McVaugh & Rzed.,Bursera staphyleoides
Bursera stenophylla,Sprague & L.Riley,Bursera stenophylla
Bursera submoniliformis,Engl.,Bursera submoniliformis
Bursera subtrifoliata,(Rose) Standl.,Bursera subtrifoliata
Bursera suntui,C.A.Toledo,Bursera suntui
Bursera tecomaca,(DC.) Standl.,Bursera tecomaca
Bursera toledoana,Rzed. & Calderón,Bursera toledoana
Bursera tomentosa,(Jacq.) Triana & Planch.,Bursera tomentosa
Bursera tonkinensis,Guillaumin,Bursera tonkinensis
Bursera trifoliolata,Bullock,Bursera trifoliolata
Bursera trimera,Bullock,Bursera trimera
Bursera vejar-vazquezii,Miranda,Bursera vejar-vazquezii
Bursera velutina,Bullock,Bursera velutina
Bursera xochipalensis,Rzed.,Bursera xochipalensis
Burttia prunoides,Baker f. & Exell,Burttia prunoides
Bussea eggelingii,Verdc.,Bussea eggelingii
Bussea gossweileri,Baker f.,Bussea gossweileri
Bussea massaiensis,(Taub.) Harms,Bussea massaiensis
Bussea occidentalis,Hutch.,Bussea occidentalis
Bussea perrieri,R.Vig.,Bussea perrieri
Bussea sakalava,Du Puy & R.Rabev.,Bussea sakalava
Bussea xylocarpa,(Sprague) Sprague & Craib,Bussea xylocarpa
Butea braamiana,DC.,Butea braamiana
Butea monosperma,(Lam.) Kuntze,Butea monosperma
Butea superba,Roxb.,Butea superba
Butia capitata,(Mart.) Becc.,Butia capitata
Butia catarinensis,Noblick & Lorenzi,Butia catarinensis
Butia eriospatha,(Mart. ex Drude) Becc.,Butia eriospatha
Butia exilata,Deble & Marchiori,Butia exilata
Butia lepidotispatha,Noblick,Butia lepidotispatha
Butia noblickii,"Deble, Marchiori, F.S.Alves & A.S.Oliveira",Butia noblickii
Butia odorata,(Barb.Rodr.) Noblick,Butia odorata
Butia paraguayensis,(Barb.Rodr.) L.H.Bailey,Butia paraguayensis
Butia purpurascens,Glassman,Butia purpurascens
Butia yatay,(Mart.) Becc.,Butia yatay
Buxus acuminata,(Griseb.) Müll.Arg.,Buxus acuminata
Buxus acutata,Friis,Buxus acutata
Buxus arborea,Proctor,Buxus arborea
Buxus bahamensis,Baker,Buxus bahamensis
Buxus bartlettii,Standl.,Buxus bartlettii
Buxus benguellensis,Gilg,Buxus benguellensis
Buxus bissei,Eg.Köhler,Buxus bissei
Buxus braimbridgeorum,Eg.Köhler,Buxus braimbridgeorum
Buxus brevipes,(Müll.Arg.) Urb.,Buxus brevipes
Buxus calcarea,G.E.Schatz & Lowry,Buxus calcarea
Buxus capuronii,G.E.Schatz & Lowry,Buxus capuronii
Buxus citrifolia,(Willd.) Spreng.,Buxus citrifolia
Buxus conzattii,Standl.,Buxus conzattii
Buxus crassifolia,(Britton) Urb.,Buxus crassifolia
Buxus cristalensis,Eg.Köhler & P.A.González,Buxus cristalensis
Buxus ekmanii,Urb.,Buxus ekmanii
Buxus glomerata,(Griseb.) Müll.Arg.,Buxus glomerata
Buxus gonoclada,(C.Wright ex Griseb.) Müll.Arg.,Buxus gonoclada
Buxus hildebrandtii,Baill.,Buxus hildebrandtii
Buxus humbertii,G.E.Schatz & Lowry,Buxus humbertii
Buxus koehleri,P.A.González & Borsch,Buxus koehleri
Buxus liukiuensis,(Makino) Makino,Buxus liukiuensis
Buxus macowanii,Oliv.,Buxus macowanii
Buxus macrocarpa,Capuron,Buxus macrocarpa
Buxus madagascarica,Baill.,Buxus madagascarica
Buxus marginalis,(Britton) Urb.,Buxus marginalis
Buxus megistophylla,H.Lév.,Buxus megistophylla
Buxus microphylla,Siebold & Zucc.,Buxus microphylla
Buxus moctezumae,"Eg.Köhler, R.Fernández & Zamudio",Buxus moctezumae
Buxus monticola,G.E.Schatz & Lowry,Buxus monticola
Buxus moratii,G.E.Schatz & Lowry,Buxus moratii
Buxus natalensis,(Oliv.) Hutch.,Buxus natalensis
Buxus nipensis,Eg.Köhler & P.A.González,Buxus chinensis
Buxus nyasica,Hutch.,Buxus nyasica
Buxus obtusifolia,(Mildbr.) Hutch.,Buxus obtusifolia
Buxus olivacea,Urb.,Buxus olivacea
Buxus portoricensis,Alain,Buxus portoricensis
Buxus rabenantoandroi,G.E.Schatz & Lowry,Buxus rabenantoandroi
Buxus retusa,(Griseb.) Müll.Arg.,Buxus retusa
Buxus rolfei,S.Vidal,Buxus rolfei
Buxus sempervirens,L.,Buxus sempervirens
Buxus sinica,(Rehder & E.H.Wilson) M.Cheng,Buxus sinica
Buxus subcolumnaris,Müll.Arg.,Buxus subcolumnaris
Buxus triptera,Eg.Köhler,Buxus triptera
Buxus vahlii,Baill.,Buxus vahlii
Buxus yunquensis,Eg.Köhler,Buxus yunquensis
Byrsanthus brownii,Guill.,Byrsanthus brownii
Byrsonima aerugo,Sagot,Byrsonima aerugo
Byrsonima affinis,W.R.Anderson,Byrsonima affinis
Byrsonima altissima,DC.,Byrsonima altissima
Byrsonima alvimii,W.R.Anderson,Byrsonima alvimii
Byrsonima amoena,Cuatrec.,Byrsonima amoena
Byrsonima arbutifolia,Griseb.,Byrsonima arbutifolia
Byrsonima arctostaphyloides,Nied.,Byrsonima arctostaphyloides
Byrsonima arthropoda,A.Juss.,Byrsonima arthropoda
Byrsonima baccae,W.R.Anderson,Byrsonima baccae
Byrsonima bahiana,W.R.Anderson,Byrsonima bahiana
Byrsonima basiliana,W.R.Anderson,Byrsonima basiliana
Byrsonima basiloba,A.Juss.,Byrsonima basiloba
Byrsonima brachystachya,DC.,Byrsonima brachystachya
Byrsonima bronweniana,W.R.Anderson,Byrsonima bronweniana
Byrsonima bucidifolia,Standl.,Byrsonima bucidifolia
Byrsonima cacaophila,W.R.Anderson,Byrsonima cacaophila
Byrsonima carraoana,Steyerm.,Byrsonima carraoana
Byrsonima chalcophylla,Nied.,Byrsonima chalcophylla
Byrsonima christianeae,W.R.Anderson,Byrsonima christianeae
Byrsonima clausseniana,A.Juss.,Byrsonima clausseniana
Byrsonima coccolobifolia,Kunth,Byrsonima coccolobifolia
Byrsonima concinna,Benth.,Byrsonima concinna
Byrsonima coniophylla,A.Juss.,Byrsonima coniophylla
Byrsonima cordifolia,W.R.Anderson,Byrsonima cordifolia
Byrsonima correifolia,A.Juss.,Byrsonima correifolia
Byrsonima cowanii,W.R.Anderson,Byrsonima cowanii
Byrsonima crassa,Nied.,Byrsonima crassa
Byrsonima crassifolia,(L.) Kunth,Byrsonima crassifolia
Byrsonima crispa,A.Juss.,Byrsonima crispa
Byrsonima cuprea,Griseb.,Byrsonima cuprea
Byrsonima cydoniifolia,A.Juss.,Byrsonima cydoniifolia
Byrsonima dealbata,Griseb.,Byrsonima dealbata
Byrsonima decipiens,Nied.,Byrsonima decipiens
Byrsonima densa,(Poir.) DC.,Byrsonima densa
Byrsonima dubia,W.R.Anderson,Byrsonima dubia
Byrsonima duckeana,W.R.Anderson,Byrsonima duckeana
Byrsonima duidana,W.R.Anderson,Byrsonima duidana
Byrsonima eriopoda,DC.,Byrsonima eriopoda
Byrsonima eugeniifolia,Sandwith,Byrsonima eugeniifolia
Byrsonima euryphylla,Pilg.,Byrsonima euryphylla
Byrsonima fanshawei,W.R.Anderson,Byrsonima fanshawei
Byrsonima fernandezii,Cuatrec.,Byrsonima fernandezii
Byrsonima flexipes,W.R.Anderson,Byrsonima flexipes
Byrsonima fonsecae,W.R.Anderson,Byrsonima fonsecae
Byrsonima formosa,W.R.Anderson,Byrsonima formosa
Byrsonima frondosa,Mart. ex A.Juss.,Byrsonima frondosa
Byrsonima garcibarrigae,Cuatrec.,Byrsonima garcibarrigae
Byrsonima gardneriana,A.Juss.,Byrsonima gardneriana
Byrsonima grisebachiana,Nied.,Byrsonima grisebachiana
Byrsonima guilleminiana,A.Juss.,Byrsonima guilleminiana
Byrsonima gymnocalycina,A.Juss.,Byrsonima gymnocalycina
Byrsonima herrerae,W.R.Anderson,Byrsonima herrerae
Byrsonima hirsuta,W.R.Anderson,Byrsonima hirsuta
Byrsonima homeieri,W.R.Anderson,Byrsonima homeieri
Byrsonima huberi,W.R.Anderson,Byrsonima huberi
Byrsonima hypoleuca,Turcz.,Byrsonima hypoleuca
Byrsonima incarnata,Sandwith,Byrsonima incarnata
Byrsonima intermedia,A.Juss.,Byrsonima intermedia
Byrsonima japurensis,A.Juss.,Byrsonima japurensis
Byrsonima kariniana,W.R.Anderson,Byrsonima kariniana
Byrsonima karstenii,W.R.Anderson,Byrsonima karstenii
Byrsonima krukoffii,W.R.Anderson,Byrsonima krukoffii
Byrsonima laevigata,(Poir.) DC.,Byrsonima laevigata
Byrsonima laevis,Nied.,Byrsonima laevis
Byrsonima lancifolia,A.Juss.,Byrsonima lancifolia
Byrsonima laxiflora,Griseb.,Byrsonima laxiflora
Byrsonima leucophlebia,Griseb.,Byrsonima leucophlebia
Byrsonima ligustrifolia,Mart.,Byrsonima ligustrifolia
Byrsonima linguifera,Cuatrec.,Byrsonima linguifera
Byrsonima lucida,(Mill.) DC.,Byrsonima lucida
Byrsonima luetzelburgii,Steyerm.,Byrsonima luetzelburgii
Byrsonima lyoniifolia,Nied.,Byrsonima lyoniifolia
Byrsonima macrophylla,(Pers.) W.R.Anderson,Byrsonima macrophylla
Byrsonima macrostachya,W.R.Anderson,Byrsonima macrostachya
Byrsonima maguirei,W.R.Anderson,Byrsonima maguirei
Byrsonima martiana,A.Juss.,Byrsonima martiana
Byrsonima myricifolia,Griseb.,Byrsonima myricifolia
Byrsonima nemoralis,Cuatrec.,Byrsonima nemoralis
Byrsonima nitidifolia,A.Juss.,Byrsonima nitidifolia
Byrsonima nitidissima,Kunth,Byrsonima nitidissima
Byrsonima oaxacana,A.Juss.,Byrsonima oaxacana
Byrsonima oblanceolata,Nied.,Byrsonima oblanceolata
Byrsonima obversa,Miq.,Byrsonima obversa
Byrsonima pachyphylla,A.Juss.,Byrsonima pachyphylla
Byrsonima pachypoda,W.R.Anderson,Byrsonima pachypoda
Byrsonima pedunculata,W.R.Anderson,Byrsonima pedunculata
Byrsonima perseifolia,Griseb.,Byrsonima perseifolia
Byrsonima piresii,W.R.Anderson,Byrsonima piresii
Byrsonima poeppigiana,A.Juss.,Byrsonima poeppigiana
Byrsonima punctulata,A.Juss.,Byrsonima punctulata
Byrsonima putumayensis,Cuatrec.,Byrsonima putumayensis
Byrsonima riparia,W.R.Anderson,Byrsonima riparia
Byrsonima rodriguesii,W.R.Anderson,Byrsonima rodriguesii
Byrsonima rotunda,Griseb.,Byrsonima rotunda
Byrsonima rubrobracteata,W.R.Anderson,Byrsonima rubrobracteata
Byrsonima salzmanniana,A.Juss.,Byrsonima salzmanniana
Byrsonima schomburgkiana,Benth.,Byrsonima schomburgkiana
Byrsonima schunkei,W.R.Anderson,Byrsonima schunkei
Byrsonima sericea,DC.,Byrsonima sericea
Byrsonima smallii,Fawc. & Rendle,Byrsonima smallii
Byrsonima souzae,W.R.Anderson,Byrsonima souzae
Byrsonima spicata,(Cav.) Rich. ex Kunth,Byrsonima spicata
Byrsonima spinensis,W.R.Anderson,Byrsonima spinensis
Byrsonima stannardii,W.R.Anderson,Byrsonima stannardii
Byrsonima steyermarkii,W.R.Anderson,Byrsonima steyermarkii
Byrsonima stipulacea,A.Juss.,Byrsonima stipulacea
Byrsonima subcordata,Nied.,Byrsonima subcordata
Byrsonima surinamensis,W.R.Anderson,Byrsonima surinamensis
Byrsonima tenuifolia,Urb. & Nied.,Byrsonima tenuifolia
Byrsonima tillettii,W.R.Anderson,Byrsonima tillettii
Byrsonima trinitensis,A.Juss.,Byrsonima trinitensis
Byrsonima umbellata,Mart. ex A.Juss.,Byrsonima umbellata
Byrsonima vacciniifolia,A.Juss.,Byrsonima vacciniifolia
Byrsonima variabilis,A.Juss.,Byrsonima variabilis
Byrsonima verbascifolia,(L.) DC.,Byrsonima verbascifolia
Byrsonima vernicosa,Nied.,Byrsonima vernicosa
Byrsonima wadsworthii,Little,Byrsonima wadsworthii
Byrsonima wurdackii,W.R.Anderson,Byrsonima wurdackii
Byrsophyllum ellipticum,(Thwaites) Hook.f.,Byrsophyllum ellipticum
Byrsophyllum tetrandrum,(Bedd.) Hook.f.,Byrsophyllum tetrandrum
Byttneria ancistrodonta,Mildbr.,Byttneria ancistrodonta
Byttneria aurantiaca,Mildbr.,Byttneria aurantiaca
Byttneria crenulata,Wall. ex Mast.,Byttneria crenulata
Byttneria divaricata,Benth.,Byttneria divaricata
Byttneria flexuosa,Killip,Byttneria flexuosa
Byttneria fluvialis,Fryxell & Guadarr.,Byttneria fluvialis
Byttneria fruticosa,K.Schum. ex Engl.,Byttneria fruticosa
Byttneria hirsuta,Ruiz & Pav.,Byttneria hirsuta
Byttneria ivorensis,N.Hallé,Byttneria ivorensis
Byttneria morii,L.C.Barnett & Dorr,Byttneria morii
Byttneria parviflora,Benth.,Byttneria parviflora
Cabralea canjerana,(Vell.) Mart.,Cabralea canjerana
Cadaba aphylla,(Thunb.) Wild,Cadaba aphylla
Cadaba barbigera,Gilg,Cadaba barbigera
Cadaba farinosa,Forssk.,Cadaba farinosa
Cadaba gillettii,R.A.Graham,Cadaba gillettii
Cadaba glandulosa,Forssk.,Cadaba glandulosa
Cadaba insularis,A.G.Mill.,Cadaba insularis
Cadaba kirkii,Oliv.,Cadaba kirkii
Cadaba linearifolia,(J.Graham) M.R.Almeida,Cadaba linearifolia
Cadaba longifolia,DC.,Cadaba longifolia
Cadaba natalensis,Sond.,Cadaba natalensis
Cadaba trifoliata,Wight & Arn.,Cadaba trifoliata
Cadaba virgata,Bojer,Cadaba virgata
Cadia ellisiana,Baker,Cadia ellisiana
Cadia pedicellata,Baker,Cadia pedicellata
Cadia purpurea,(G.Piccioli) Aiton,Cadia purpurea
Caesalpinia angulata,(Hook. & Arn.) Baill.,Caesalpinia angulata
Caesalpinia bahamensis,Lam.,Caesalpinia bahamensis
Caesalpinia barahonensis,Urb.,Caesalpinia barahonensis
Caesalpinia barkeriana,Urb. & Ekman,Caesalpinia barkeriana
Caesalpinia brasiliensis,L.,Caesalpinia violacea
Caesalpinia buchii,Urb.,Caesalpinia buchii
Caesalpinia cacalaco,Bonpl.,Caesalpinia cacalaco
Caesalpinia caesia,Hand.-Mazz.,Caesalpinia caesia
Caesalpinia cassioides,Willd.,Caesalpinia cassioides
Caesalpinia ciliata,(Wikstr.) Urb.,Caesalpinia ciliata
Caesalpinia coccinea,G.P.Lewis & J.L.Contr.,Caesalpinia coccinea
Caesalpinia colimensis,F.J.Herm.,Caesalpinia colimensis
Caesalpinia coluteifolia,Griseb.,Caesalpinia coluteifolia
Caesalpinia ebano,H.Karst.,Caesalpinia ebano
Caesalpinia enneaphylla,Roxb.,Caesalpinia enneaphylla
Caesalpinia epifanioi,J.L.Contr.,Caesalpinia epifanioi
Caesalpinia glandulosopedicellata,R.Wilczek,Caesalpinia glandulosopedicellata
Caesalpinia hintonii,Sandwith,Caesalpinia hintonii
Caesalpinia hughesii,G.P.Lewis,Caesalpinia hughesii
Caesalpinia latisiliqua,(Cav.) Hattink,Caesalpinia latisiliqua
Caesalpinia macvaughii,J.L.Contr. & G.P.Lewis,Caesalpinia macvaughii
Caesalpinia madagascariensis,(R.Vig.) Senesse,Caesalpinia madagascariensis
Caesalpinia major,(Medik.) Dandy & Exell,Caesalpinia globulorum
Caesalpinia mimosoides,Lam.,Caesalpinia mimosoides
Caesalpinia monensis,Britton,Caesalpinia monensis
Caesalpinia nhatrangensis,(Gagnep.) J.E.Vidal,Caesalpinia nhatrangensis
Caesalpinia nipensis,Urb.,Caesalpinia nipensis
Caesalpinia oyamae,Sotuyo & G.P.Lewis,Caesalpinia oyamae
Caesalpinia parviflora,Prain,Caesalpinia parviflora
Caesalpinia pringlei,(Britton & Rose) Standl.,Caesalpinia pringlei
Caesalpinia pubescens,(Desf.) Buch.-Ham. ex Wall.,Caesalpinia pubescens
Caesalpinia pulcherrima,(L.) Sw.,Caesalpinia pulcherrima
Caesalpinia robinsoniana,(Britton & Rose) G.P.Lewis,Caesalpinia robinsoniana
Caesalpinia standleyi,(Britton & Rose) Standl.,Caesalpinia standleyi
Caesalpinia tortuosa,Roxb.,Caesalpinia tortuosa
Caesalpinia velutina,(Britton & Rose) Standl.,Caesalpinia velutina
Caesalpinia violacea,(Mill.) Standl.,Caesalpinia violacea
Calamus arborescens,Griff.,Calamus arborescens
Calamus ciliaris,Blume,Calamus ciliaris
Calamus compsostachys,Burret,Calamus compsostachys
Calamus dumetosus,(J.Dransf.) A.J.Hend. & Floda,Calamus palustris
Calamus egregius,Burret,Calamus egregius
Calamus erectus,Roxb.,Calamus erectus
Calamus filipendulus,Becc.,Calamus filipendulus
Calamus gibbsianus,Becc.,Calamus gibbsianus
Calamus modestus,T.Evans & T.P.Anh,Calamus modestus
Calamus nambariensis,Becc.,Calamus nambariensis
Calamus nematospadix,Becc.,Calamus nematospadix
Calamus perakensis,Becc.,Calamus perakensis
Calamus poensis,Becc.,Calamus poensis
Calamus poilanei,Conrard,Calamus poilanei
Calamus psilocladus,J.Dransf.,Calamus psilocladus
Calamus rotang,L.,Calamus rotang
Calamus salicifolius,Becc.,Calamus salicifolius
Calamus siamensis,Becc.,Calamus siamensis
Calamus siberutensis,(Rustiami) W.J.Baker,Daemonorops siberutensis
Calamus simplex,Becc.,Calamus simplex
Calamus temii,T.Evans,Calamus temii
Calamus thysanolepis,Hance,Calamus thysanolepis
Calamus viridispinus,Becc.,Calamus viridispinus
Calanthea pulcherrima,(Jacq.) Miers,Calanthea pulcherrima
Calanthea stenosepala,(Urb.) Cornejo & Iltis,Calanthea stenosepala
Calantica biseriata,H.Perrier,Calantica biseriata
Calantica capuronii,Sleumer,Calantica capuronii
Calantica cerasifolia,(Vent.) Tul.,Calantica cerasifolia
Calantica decaryana,H.Perrier,Calantica decaryana
Calantica grandiflora,Jaub. ex Tul.,Calantica grandiflora
Calantica lucida,Scott Elliot,Calantica lucida
Calantica olivacea,"Appleq., Phillipson & G.E. Schatz",Calantica olivacea
Calantica pseudobiseriata,"Appleq., Phillipson & G.E. Schatz",Calantica pseudobiseriata
Calantica sphaerocephala,"Appleq., Phillipson & G.E. Schatz",Calantica sphaerocephala
Calatola costaricensis,Standl.,Calatola costaricensis
Calatola laevigata,Standl.,Calatola laevigata
Calatola microcarpa,Gentry ex Duno & J. Janovec,Calatola microcarpa
Calatola mollis,Standl.,Calatola mollis
Calatola uxpanapensis,Vera-Cal. & T.Wendt,Calatola uxpanapensis
Calaunia negrosensis,(Elmer) Grudz.,Calaunia negrosensis
Calceolaria perfoliata,L.f.,Calceolaria perfoliata
Calceolaria vaccinioides,Kraenzl.,Calceolaria vaccinioides
Caldcluvia paniculata,(Cav.) D.Don,Caldcluvia paniculata
Calea sipapoana,Maguire,Calea sipapoana
Callaeum macropterum,(Moc. & Sessé ex DC.) D.M.Johnson,Callaeum macropterum
Callerya atropurpurea,(Wall.) Schot,Callerya atropurpurea
Callerya bonatiana,(Pamp.) P.K.Lôc,Callerya bonatiana
Callerya neocaledonica,I.C.Nielsen & Veillon,Callerya neocaledonica
Callerya vasta,(Kosterm.) Schot,Callerya vasta
Calliandra angustifolia,Spruce ex Benth.,Calliandra angustifolia
Calliandra antioquiae,Barneby,Calliandra antioquiae
Calliandra asplenioides,(Nees) Benth.,Calliandra asplenioides
Calliandra belizensis,(Britton & Rose) Standl.,Calliandra belizensis
Calliandra bijuga,Rose,Calliandra bijuga
Calliandra bombycina,Spruce ex Benth.,Calliandra bombycina
Calliandra brenesii,Standl.,Calliandra brenesii
Calliandra brevicaulis,Micheli,Calliandra brevicaulis
Calliandra caeciliae,Harms,Calliandra caeciliae
Calliandra carcerea,Standl. & Steyerm.,Calliandra carcerea
Calliandra carrascana,Barneby,Calliandra carrascana
Calliandra chulumania,Barneby,Calliandra chulumania
Calliandra comosa,(Sw.) Benth.,Calliandra comosa
Calliandra coriacea,(Humb. & Bonpl. ex Willd.) Benth.,Calliandra coriacea
Calliandra cruegeri,Griseb.,Calliandra cruegeri
Calliandra cynometroides,Bedd.,Calliandra cynometroides
Calliandra depauperata,Benth.,Calliandra depauperata
Calliandra duckei,Barneby,Calliandra duckei
Calliandra enervis,(Britton) Urb.,Calliandra enervis
Calliandra erythrocephala,H.M.Hern. & M.Sousa,Calliandra erythrocephala
Calliandra falcata,Benth.,Calliandra falcata
Calliandra foliolosa,Benth.,Calliandra foliolosa
Calliandra glomerulata,H.Karst.,Calliandra glomerulata
Calliandra glyphoxylon,Spruce ex Benth.,Calliandra glyphoxylon
Calliandra goldmanii,Rose ex Barneby,Calliandra goldmanii
Calliandra grandifolia,P.H.Allen,Calliandra grandifolia
Calliandra guildingii,Benth.,Calliandra guildingii
Calliandra haematocephala,Hassk.,Calliandra haematocephala
Calliandra haematomma,(Bertero ex DC.) Benth.,Calliandra haematomma
Calliandra harrisii,(Lindl.) Benth.,Calliandra harrisii
Calliandra hirsuta,(G.Don) Benth.,Calliandra hirsuta
Calliandra houstoniana,(Mill.) Standl.,Calliandra houstoniana
Calliandra hymenaeoides,(Pers.) Benth.,Calliandra hymenaeodes
Calliandra jariensis,Barneby,Calliandra jariensis
Calliandra juzepczukii,Standl.,Calliandra juzepczukii
Calliandra laevis,Rose,Calliandra laevis
Calliandra laxa,(Willd.) Benth.,Calliandra laxa
Calliandra leptopoda,Benth.,Calliandra leptopoda
Calliandra longipedicellata,(McVaugh) Macqueen & H.M.Hern.,Calliandra longipedicellata
Calliandra magdalenae,(Bertero ex DC.) Benth.,Calliandra magdalenae
Calliandra medellinensis,Britton & Rose ex Britton & Killip,Calliandra medellinensis
Calliandra molinae,Standl.,Calliandra molinae
Calliandra mollissima,(Humb. & Bonpl. ex Willd.) Benth.,Calliandra mollissima
Calliandra paniculata,C.D.Adams,Calliandra paniculata
Calliandra parvifolia,Speg.,Calliandra parvifolia
Calliandra pedicellata,Benth.,Calliandra pedicellata
Calliandra physocalyx,H.M.Hern. & M.Sousa,Calliandra physocalyx
Calliandra pilosa,(DC.) Urb.,Calliandra pilosa
Calliandra pittieri,Standl.,Calliandra pittieri
Calliandra purdiei,Benth.,Calliandra purdiaei
Calliandra purpurea,(L.) Benth.,Calliandra purpurea
Calliandra rhodocephala,Donn.Sm.,Calliandra rhodocephala
Calliandra ricoana,H.M. Hern. & R. Duno,Calliandra ricoana
Calliandra riparia,Pittier,Calliandra riparia
Calliandra rubescens,(M.Martens & Galeotti) Standl.,Calliandra rubescens
Calliandra samik,Barneby,Calliandra samik
Calliandra spinosa,Ducke,Calliandra spinosa
Calliandra surinamensis,Benth.,Calliandra surinamensis
Calliandra taxifolia,(Kunth) Benth.,Calliandra taxifolia
Calliandra tergemina,(L.) Benth.,Calliandra tergemina
Calliandra tolimensis,Taub. ex Hieron.,Calliandra tolimensis
Calliandra trinervia,Benth.,Calliandra trinervia
Calliandra tsugoides,R.S.Cowan,Calliandra tsugoides
Calliandra tumbeziana,J.F.Macbr.,Calliandra tumbeziana
Calliandra tweediei,Benth.,Calliandra tweedii
Calliandra umbrosa,(Wall.) Benth.,Calliandra umbrosa
Callianthe andrade-limae,(Monteiro) Donnell,Bakeridesia andradelimae
Callianthe bezerrae,(Monteiro) Donnell,Bakeridesia bezerrae
Callianthe jaliscana,(Standl.) Donnell,Abutilon jaliscanum
Callianthe lanata,(Miq.) Donnell,Bakeridesia lanata
Callianthe latipetala,(G.L.Esteves & Krapov.) Donnell,Abutilon latipetalum
Callianthe pickelii,(Monteiro) Donnell,Bakeridesia pickelii
Callianthe picta,(Gilles ex Hook. & Arn.) Donnell,Abutilon pictum
Callianthe rufinerva,(A.St.-Hil.) Donnell,Bakeridesia rufinervis
Callianthe sylvatica,(Cav.) Dorr,Abutilon sylvaticum
Callianthe torrendii,(Monteiro) Donnell,Bakeridesia torrendii
Callianthe ulbrichii,(Fryxell) Dorr,Abutilon ulbrichii
Callicarpa acuminata,Kunth,Callicarpa acuminata
Callicarpa ampla,Schauer,Callicarpa ampla
Callicarpa angustifolia,King & Gamble,Callicarpa angustifolia
Callicarpa anomala,(Ridl.) B.L.Burtt,Callicarpa anomala
Callicarpa apoensis,Elmer,Callicarpa apoensis
Callicarpa arborea,Roxb.,Callicarpa arborea
Callicarpa argentii,Bramley,Callicarpa argentii
Callicarpa bachmaensis,Soejima & Tagane,Callicarpa bachmaensis
Callicarpa barbata,Ridl.,Callicarpa barbata
Callicarpa basilanensis,Merr.,Callicarpa basilanensis
Callicarpa bracteata,Dop,Callicarpa bracteata
Callicarpa brevipes,(Benth.) Hance,Callicarpa brevipes
Callicarpa candicans,(Burm.f.) Hochr.,Callicarpa candicans
Callicarpa caudata,Maxim.,Callicarpa caudata
Callicarpa cubensis,Urb.,Callicarpa cubensis
Callicarpa dolichophylla,Merr.,Callicarpa dolichophylla
Callicarpa endertii,(Moldenke) Bramley,Callicarpa endertii
Callicarpa erioclona,Schauer,Callicarpa erioclona
Callicarpa flavida,Elmer,Callicarpa flavida
Callicarpa fulvohirsuta,Merr.,Callicarpa fulvohirsuta
Callicarpa furfuracea,Ridl,Callicarpa furfuracea
